onset	duration	volume	type	value
432	n/a	217	Pulse	50
432.692	n/a	217.346	Nothing	15 End of file
432.704	n/a	217.352	Picture	blank
434	n/a	218	Pulse	50
434.72	n/a	218.36	Picture	FIX 4029
436	n/a	219	Pulse	50
436.758	n/a	219.379	Sound	14 Start File 883.wav
436.826	n/a	219.413	Nothing	7 Audio onset
438	n/a	220	Pulse	50
440	n/a	221	Pulse	50
442	n/a	222	Pulse	50
444	n/a	223	Pulse	50
444.016	n/a	223.008	Nothing	8 Target
446	n/a	224	Pulse	50
446.364	n/a	224.182	Nothing	15 End of file
446.386	n/a	224.193	Picture	blank
448	n/a	225	Pulse	50
448.404	n/a	225.202	Picture	FIX 3834
450	n/a	226	Pulse	50
450.244	n/a	226.122	Sound	14 Start File 516.wav
450.318	n/a	226.159	Nothing	3 Audio onset
452	n/a	227	Pulse	50
454	n/a	228	Pulse	50
455.728	n/a	228.864	Nothing	4 Target
456	n/a	229	Pulse	50
458	n/a	230	Pulse	50
459.356	n/a	230.678	Nothing	15 End of file
460	n/a	231	Pulse	50
460.32	n/a	231.16	Picture	QUESTION 516
461.184	n/a	231.592	Response	2
461.202	n/a	231.601	Picture	blank
462	n/a	232	Pulse	50
463.22	n/a	232.61	Picture	FIX 3998
464	n/a	233	Pulse	50
465.226	n/a	233.613	Sound	14 Start File 501.wav
465.284	n/a	233.642	Nothing	3 Audio onset
466	n/a	234	Pulse	50
468	n/a	235	Pulse	50
469.458	n/a	235.729	Nothing	4 Target
470	n/a	236	Pulse	50
472	n/a	237	Pulse	50
473.174	n/a	237.587	Nothing	15 End of file
473.186	n/a	237.593	Picture	blank
474	n/a	238	Pulse	50
475.202	n/a	238.601	Picture	FIX 3639
476	n/a	239	Pulse	50
476.85	n/a	239.425	Sound	14 Start File 827.wav
476.94	n/a	239.47	Nothing	7 Audio onset
478	n/a	240	Pulse	50
479.636	n/a	240.818	Nothing	8 Target
480	n/a	241	Pulse	50
482	n/a	242	Pulse	50
484	n/a	243	Pulse	50
484.344	n/a	243.172	Nothing	15 End of file
484.668	n/a	243.334	Picture	ZINNEN
486	n/a	244	Pulse	50
486.384	n/a	244.192	Picture	blank
488	n/a	245	Pulse	50
488.402	n/a	245.201	Picture	FIX 3468
489.872	n/a	245.936	Sound	14 Start File 033.wav
489.93	n/a	245.965	Nothing	1 Audio onset
490	n/a	246	Pulse	50
491.572	n/a	246.786	Nothing	2 Target
492	n/a	247	Pulse	50
493.67	n/a	247.835	Nothing	15 End of file
493.684	n/a	247.842	Picture	blank
494	n/a	248	Pulse	50
495.702	n/a	248.851	Picture	FIX 3617
496	n/a	249	Pulse	50
497.324	n/a	249.662	Sound	14 Start File 098.wav
497.382	n/a	249.691	Nothing	1 Audio onset
498	n/a	250	Pulse	50
499.908	n/a	250.954	Nothing	2 Target
500	n/a	251	Pulse	50
501.4	n/a	251.7	Nothing	15 End of file
501.418	n/a	251.709	Picture	blank
502	n/a	252	Pulse	50
503.434	n/a	252.717	Picture	FIX 3351
504	n/a	253	Pulse	50
504.796	n/a	253.398	Sound	14 Start File 302.wav
504.86	n/a	253.43	Nothing	5 Audio onset
506	n/a	254	Pulse	50
506.862	n/a	254.431	Nothing	6 Target
508	n/a	255	Pulse	50
508.32	n/a	255.16	Nothing	15 End of file
508.334	n/a	255.167	Picture	blank
510	n/a	256	Pulse	50
510.35	n/a	256.175	Picture	FIX 3882
512	n/a	257	Pulse	50
512.236	n/a	257.118	Sound	14 Start File 162.wav
512.246	n/a	257.123	Nothing	1 Audio onset
512.82	n/a	257.41	Nothing	2 Target
514	n/a	258	Pulse	50
516	n/a	259	Pulse	50
516.034	n/a	259.017	Nothing	15 End of file
516.05	n/a	259.025	Picture	blank
518	n/a	260	Pulse	50
518.066	n/a	260.033	Picture	FIX 3958
520	n/a	261	Pulse	50
520.03	n/a	261.015	Sound	14 Start File 036.wav
520.09	n/a	261.045	Nothing	1 Audio onset
522	n/a	262	Pulse	50
523.044	n/a	262.522	Nothing	2 Target
524	n/a	263	Pulse	50
524.484	n/a	263.242	Nothing	15 End of file
524.816	n/a	263.408	Picture	WOORDEN
526	n/a	264	Pulse	50
526.532	n/a	264.266	Picture	blank
528	n/a	265	Pulse	50
528.55	n/a	265.275	Picture	FIX 3512
530	n/a	266	Pulse	50
530.074	n/a	266.037	Sound	14 Start File 525.wav
530.142	n/a	266.071	Nothing	3 Audio onset
532	n/a	267	Pulse	50
534	n/a	268	Pulse	50
534.738	n/a	268.369	Nothing	4 Target
536	n/a	269	Pulse	50
537.13	n/a	269.565	Nothing	15 End of file
537.15	n/a	269.575	Picture	blank
538	n/a	270	Pulse	50
539.166	n/a	270.583	Picture	FIX 3649
540	n/a	271	Pulse	50
540.826	n/a	271.413	Sound	14 Start File 562.wav
540.896	n/a	271.448	Nothing	3 Audio onset
542	n/a	272	Pulse	50
544	n/a	273	Pulse	50
546	n/a	274	Pulse	50
546.18	n/a	274.09	Nothing	4 Target
548	n/a	275	Pulse	50
549.394	n/a	275.697	Nothing	15 End of file
549.416	n/a	275.708	Picture	blank
550	n/a	276	Pulse	50
551.432	n/a	276.716	Picture	FIX 4085
552	n/a	277	Pulse	50
553.52	n/a	277.76	Sound	14 Start File 858.wav
553.598	n/a	277.799	Nothing	7 Audio onset
554	n/a	278	Pulse	50
555.082	n/a	278.541	Nothing	8 Target
556	n/a	279	Pulse	50
558	n/a	280	Pulse	50
560	n/a	281	Pulse	50
562	n/a	282	Pulse	50
563.386	n/a	282.693	Nothing	15 End of file
563.398	n/a	282.699	Picture	blank
564	n/a	283	Pulse	50
565.414	n/a	283.707	Picture	FIX 3328
566	n/a	284	Pulse	50
566.752	n/a	284.376	Sound	14 Start File 531.wav
566.816	n/a	284.408	Nothing	3 Audio onset
568	n/a	285	Pulse	50
570	n/a	286	Pulse	50
572	n/a	287	Pulse	50
572.822	n/a	287.411	Nothing	4 Target
574	n/a	288	Pulse	50
574.108	n/a	288.054	Nothing	15 End of file
574.13	n/a	288.065	Picture	blank
576	n/a	289	Pulse	50
576.148	n/a	289.074	Picture	FIX 3687
577.846	n/a	289.923	Sound	14 Start File 581.wav
577.918	n/a	289.959	Nothing	3 Audio onset
578	n/a	290	Pulse	50
580	n/a	291	Pulse	50
582	n/a	292	Pulse	50
583.55	n/a	292.775	Nothing	4 Target
584	n/a	293	Pulse	50
585.574	n/a	293.787	Nothing	15 End of file
585.896	n/a	293.948	Picture	ZINNEN
586	n/a	294	Pulse	50
587.614	n/a	294.807	Picture	blank
588	n/a	295	Pulse	50
589.63	n/a	295.815	Picture	FIX 4052
590	n/a	296	Pulse	50
591.692	n/a	296.846	Sound	14 Start File 226.wav
591.744	n/a	296.872	Nothing	5 Audio onset
592	n/a	297	Pulse	50
592.916	n/a	297.458	Nothing	6 Target
594	n/a	298	Pulse	50
594.606	n/a	298.303	Nothing	15 End of file
594.63	n/a	298.315	Picture	blank
596	n/a	299	Pulse	50
596.646	n/a	299.323	Picture	FIX 3716
598	n/a	300	Pulse	50
598.366	n/a	300.183	Sound	14 Start File 158.wav
598.412	n/a	300.206	Nothing	1 Audio onset
599.06	n/a	300.53	Nothing	2 Target
600	n/a	301	Pulse	50
602	n/a	302	Pulse	50
602.536	n/a	302.268	Nothing	15 End of file
602.562	n/a	302.281	Picture	blank
604	n/a	303	Pulse	50
604.578	n/a	303.289	Picture	FIX 3224
605.812	n/a	303.906	Sound	14 Start File 344.wav
605.866	n/a	303.933	Nothing	5 Audio onset
606	n/a	304	Pulse	50
608	n/a	305	Pulse	50
609.19	n/a	305.595	Nothing	6 Target
610	n/a	306	Pulse	50
611.78	n/a	306.89	Nothing	15 End of file
611.796	n/a	306.898	Picture	blank
612	n/a	307	Pulse	50
613.812	n/a	307.906	Picture	FIX 4024
614	n/a	308	Pulse	50
615.84	n/a	308.92	Sound	14 Start File 280.wav
615.902	n/a	308.951	Nothing	5 Audio onset
616	n/a	309	Pulse	50
617.376	n/a	309.688	Nothing	6 Target
618	n/a	310	Pulse	50
620	n/a	311	Pulse	50
620.092	n/a	311.046	Nothing	15 End of file
620.11	n/a	311.055	Picture	blank
622	n/a	312	Pulse	50
622.11	n/a	312.055	Picture	FIX 3395
623.528	n/a	312.764	Sound	14 Start File 317.wav
623.594	n/a	312.797	Nothing	5 Audio onset
624	n/a	313	Pulse	50
624.938	n/a	313.469	Nothing	6 Target
626	n/a	314	Pulse	50
626.852	n/a	314.426	Nothing	15 End of file
627.178	n/a	314.589	Picture	WOORDEN
628	n/a	315	Pulse	50
628.89	n/a	315.445	Picture	blank
630	n/a	316	Pulse	50
630.894	n/a	316.447	Picture	FIX 4175
632	n/a	317	Pulse	50
633.094	n/a	317.547	Sound	14 Start File 571.wav
633.162	n/a	317.581	Nothing	3 Audio onset
634	n/a	318	Pulse	50
636	n/a	319	Pulse	50
637.77	n/a	319.885	Nothing	4 Target
638	n/a	320	Pulse	50
640	n/a	321	Pulse	50
640.106	n/a	321.053	Nothing	15 End of file
640.128	n/a	321.064	Picture	blank
642	n/a	322	Pulse	50
642.144	n/a	322.072	Picture	FIX 3422
643.57	n/a	322.785	Sound	14 Start File 539.wav
643.662	n/a	322.831	Nothing	3 Audio onset
644	n/a	323	Pulse	50
646	n/a	324	Pulse	50
648	n/a	325	Pulse	50
648.92	n/a	325.46	Nothing	4 Target
650	n/a	326	Pulse	50
651.674	n/a	326.837	Nothing	15 End of file
651.694	n/a	326.847	Picture	blank
652	n/a	327	Pulse	50
653.71	n/a	327.855	Picture	FIX 3812
654	n/a	328	Pulse	50
655.528	n/a	328.764	Sound	14 Start File 788.wav
655.596	n/a	328.798	Nothing	7 Audio onset
656	n/a	329	Pulse	50
658	n/a	330	Pulse	50
659.756	n/a	330.878	Nothing	8 Target
660	n/a	331	Pulse	50
662	n/a	332	Pulse	50
663.836	n/a	332.918	Nothing	15 End of file
664	n/a	333	Pulse	50
664.81	n/a	333.405	Picture	QUESTION 788
665.628	n/a	333.814	Response	2
665.642	n/a	333.821	Picture	blank
666	n/a	334	Pulse	50
667.66	n/a	334.83	Picture	FIX 3960
668	n/a	335	Pulse	50
669.624	n/a	335.812	Sound	14 Start File 635.wav
669.692	n/a	335.846	Nothing	3 Audio onset
670	n/a	336	Pulse	50
671.912	n/a	336.956	Nothing	4 Target
672	n/a	337	Pulse	50
674	n/a	338	Pulse	50
676	n/a	339	Pulse	50
676.416	n/a	339.208	Nothing	15 End of file
676.442	n/a	339.221	Picture	blank
678	n/a	340	Pulse	50
678.458	n/a	340.229	Picture	FIX 3378
679.846	n/a	340.923	Sound	14 Start File 616.wav
679.916	n/a	340.958	Nothing	3 Audio onset
680	n/a	341	Pulse	50
682	n/a	342	Pulse	50
684	n/a	343	Pulse	50
685.014	n/a	343.507	Nothing	4 Target
686	n/a	344	Pulse	50
687.406	n/a	344.703	Nothing	15 End of file
687.724	n/a	344.862	Picture	ZINNEN
688	n/a	345	Pulse	50
689.442	n/a	345.721	Picture	blank
690	n/a	346	Pulse	50
691.458	n/a	346.729	Picture	FIX 3271
692	n/a	347	Pulse	50
692.728	n/a	347.364	Sound	14 Start File 264.wav
692.794	n/a	347.397	Nothing	5 Audio onset
693.998	n/a	347.999	Nothing	6 Target
694	n/a	348	Pulse	50
696	n/a	349	Pulse	50
696.036	n/a	349.018	Nothing	15 End of file
696.058	n/a	349.029	Picture	blank
698	n/a	350	Pulse	50
698.074	n/a	350.037	Picture	FIX 4003
700	n/a	351	Pulse	50
700.08	n/a	351.04	Sound	14 Start File 366.wav
700.138	n/a	351.069	Nothing	5 Audio onset
702	n/a	352	Pulse	50
702.492	n/a	352.246	Nothing	6 Target
704	n/a	353	Pulse	50
704.412	n/a	353.206	Nothing	15 End of file
704.424	n/a	353.212	Picture	blank
706	n/a	354	Pulse	50
706.44	n/a	354.22	Picture	FIX 3642
708	n/a	355	Pulse	50
708.088	n/a	355.044	Sound	14 Start File 213.wav
708.146	n/a	355.073	Nothing	5 Audio onset
709.688	n/a	355.844	Nothing	6 Target
710	n/a	356	Pulse	50
711.266	n/a	356.633	Nothing	15 End of file
711.89	n/a	356.945	Picture	QUESTION 213
712	n/a	357	Pulse	50
714	n/a	358	Pulse	50
714.298	n/a	358.149	Response	1
714.324	n/a	358.162	Picture	blank
716	n/a	359	Pulse	50
716.34	n/a	359.17	Picture	FIX 4014
718	n/a	360	Pulse	50
718.356	n/a	360.178	Sound	14 Start File 279.wav
718.412	n/a	360.206	Nothing	5 Audio onset
719.608	n/a	360.804	Nothing	6 Target
720	n/a	361	Pulse	50
722	n/a	362	Pulse	50
723.378	n/a	362.689	Nothing	15 End of file
723.406	n/a	362.703	Picture	blank
724	n/a	363	Pulse	50
725.422	n/a	363.711	Picture	FIX 3545
726	n/a	364	Pulse	50
726.974	n/a	364.487	Sound	14 Start File 202.wav
727.032	n/a	364.516	Nothing	1 Audio onset
728	n/a	365	Pulse	50
729.296	n/a	365.648	Nothing	2 Target
730	n/a	366	Pulse	50
730.618	n/a	366.309	Nothing	15 End of file
730.94	n/a	366.47	Picture	WOORDEN
732	n/a	367	Pulse	50
732.656	n/a	367.328	Picture	blank
734	n/a	368	Pulse	50
734.672	n/a	368.336	Picture	FIX 3643
736	n/a	369	Pulse	50
736.328	n/a	369.164	Sound	14 Start File 694.wav
736.386	n/a	369.193	Nothing	3 Audio onset
738	n/a	370	Pulse	50
738.9	n/a	370.45	Nothing	4 Target
740	n/a	371	Pulse	50
742	n/a	372	Pulse	50
744	n/a	373	Pulse	50
744.584	n/a	373.292	Nothing	15 End of file
744.606	n/a	373.303	Picture	blank
746	n/a	374	Pulse	50
746.622	n/a	374.311	Picture	FIX 3467
748	n/a	375	Pulse	50
748.092	n/a	375.046	Sound	14 Start File 707.wav
748.16	n/a	375.08	Nothing	7 Audio onset
750	n/a	376	Pulse	50
752	n/a	377	Pulse	50
752.774	n/a	377.387	Nothing	8 Target
754	n/a	378	Pulse	50
755.028	n/a	378.514	Nothing	15 End of file
755.038	n/a	378.519	Picture	blank
756	n/a	379	Pulse	50
757.054	n/a	379.527	Picture	FIX 3414
758	n/a	380	Pulse	50
758.486	n/a	380.243	Sound	14 Start File 740.wav
758.562	n/a	380.281	Nothing	7 Audio onset
760	n/a	381	Pulse	50
761.636	n/a	381.818	Nothing	8 Target
762	n/a	382	Pulse	50
764	n/a	383	Pulse	50
764.146	n/a	383.073	Nothing	15 End of file
764.17	n/a	383.085	Picture	blank
766	n/a	384	Pulse	50
766.188	n/a	384.094	Picture	FIX 3603
767.81	n/a	384.905	Sound	14 Start File 846.wav
767.882	n/a	384.941	Nothing	7 Audio onset
768	n/a	385	Pulse	50
770	n/a	386	Pulse	50
772	n/a	387	Pulse	50
773.676	n/a	387.838	Nothing	8 Target
774	n/a	388	Pulse	50
776	n/a	389	Pulse	50
776.178	n/a	389.089	Nothing	15 End of file
776.186	n/a	389.093	Picture	blank
778	n/a	390	Pulse	50
778.204	n/a	390.102	Picture	FIX 4080
780	n/a	391	Pulse	50
780.288	n/a	391.144	Sound	14 Start File 594.wav
780.348	n/a	391.174	Nothing	3 Audio onset
782	n/a	392	Pulse	50
782.32	n/a	392.16	Nothing	4 Target
784	n/a	393	Pulse	50
786	n/a	394	Pulse	50
788	n/a	395	Pulse	50
788.726	n/a	395.363	Nothing	15 End of file
789.036	n/a	395.518	Picture	ZINNEN
790	n/a	396	Pulse	50
790.752	n/a	396.376	Picture	blank
792	n/a	397	Pulse	50
792.77	n/a	397.385	Picture	FIX 3810
794	n/a	398	Pulse	50
794.584	n/a	398.292	Sound	14 Start File 075.wav
794.644	n/a	398.322	Nothing	1 Audio onset
796	n/a	399	Pulse	50
797.562	n/a	399.781	Nothing	2 Target
798	n/a	400	Pulse	50
800	n/a	401	Pulse	50
800.386	n/a	401.193	Nothing	15 End of file
801.002	n/a	401.501	Picture	QUESTION 075
802	n/a	402	Pulse	50
802.478	n/a	402.239	Response	2
802.502	n/a	402.251	Picture	blank
804	n/a	403	Pulse	50
804.518	n/a	403.259	Picture	FIX 3816
806	n/a	404	Pulse	50
806.34	n/a	404.17	Sound	14 Start File 067.wav
806.412	n/a	404.206	Nothing	1 Audio onset
807.906	n/a	404.953	Nothing	2 Target
808	n/a	405	Pulse	50
810	n/a	406	Pulse	50
810.54	n/a	406.27	Nothing	15 End of file
811.15	n/a	406.575	Picture	QUESTION 067
812	n/a	407	Pulse	50
812.842	n/a	407.421	Response	1
812.868	n/a	407.434	Picture	blank
814	n/a	408	Pulse	50
814.884	n/a	408.442	Picture	FIX 3398
816	n/a	409	Pulse	50
816.268	n/a	409.134	Sound	14 Start File 297.wav
816.322	n/a	409.161	Nothing	5 Audio onset
818	n/a	410	Pulse	50
818.45	n/a	410.225	Nothing	6 Target
820	n/a	411	Pulse	50
820.74	n/a	411.37	Nothing	15 End of file
820.768	n/a	411.384	Picture	blank
822	n/a	412	Pulse	50
822.784	n/a	412.392	Picture	FIX 4161
824	n/a	413	Pulse	50
824.948	n/a	413.474	Sound	14 Start File 350.wav
824.97	n/a	413.485	Nothing	5 Audio onset
826	n/a	414	Pulse	50
828	n/a	415	Pulse	50
828.254	n/a	415.127	Nothing	6 Target
830	n/a	416	Pulse	50
830.072	n/a	416.036	Nothing	15 End of file
830.1	n/a	416.05	Picture	blank
832	n/a	417	Pulse	50
832.118	n/a	417.059	Picture	FIX 3559
833.692	n/a	417.846	Sound	14 Start File 130.wav
833.75	n/a	417.875	Nothing	1 Audio onset
834	n/a	418	Pulse	50
835.688	n/a	418.844	Nothing	2 Target
836	n/a	419	Pulse	50
838	n/a	420	Pulse	50
838.166	n/a	420.083	Nothing	15 End of file
838.484	n/a	420.242	Picture	WOORDEN
840	n/a	421	Pulse	50
840.2	n/a	421.1	Picture	blank
842	n/a	422	Pulse	50
842.216	n/a	422.108	Picture	FIX 3311
843.534	n/a	422.767	Sound	14 Start File 859.wav
843.554	n/a	422.777	Nothing	7 Audio onset
844	n/a	423	Pulse	50
846	n/a	424	Pulse	50
846.408	n/a	424.204	Nothing	8 Target
848	n/a	425	Pulse	50
850	n/a	426	Pulse	50
850.264	n/a	426.132	Nothing	15 End of file
850.3	n/a	426.15	Picture	blank
852	n/a	427	Pulse	50
852.316	n/a	427.158	Picture	FIX 4053
854	n/a	428	Pulse	50
854.376	n/a	428.188	Sound	14 Start File 745.wav
